GUID,.cluster
5201f8ab-0cab-4c84-a485-b5016598cefe,2
7b07e771-60dd-4fd7-b5bc-59f569976f65,8
b1d72740-70b0-4c29-b590-dc63268def60,2
4c16dcb0-f56b-4191-8ae1-521274ab69e7,2
688350ed-feda-4896-8a9f-739b16d3b44f,8
b6677196-ef55-4847-881e-bf94177a8a82,8
aa91c1cd-9a22-40f7-b366-4738a13b92b0,2
63466a33-2109-4001-b295-90c3dc40a987,4
8e4fc9c8-83d3-4d69-b002-3fa9ed0e7529,4
3f65dc92-a506-4ffb-88f4-ad5a64036b66,4
6d3c1adb-808f-46d2-81fb-bc13074282ba,4
c4af3eee-e43d-471f-a282-e5d73748d2a3,8
0cfaac03-818a-4541-a00f-83a3e390cf7f,7
e23e3c99-f4e2-4b78-abee-bcf4d4456db3,6
a8fc04ec-296c-4dcd-af7e-3306113ec116,2
47becf2c-fd70-4710-a380-bedbd87e3da5,1
df31c860-434e-425f-afa5-f8477f3a7638,1
dd031419-e65f-4422-84e6-71daf88d5345,4
cc5ea61d-9a6b-41c0-b8c1-30aa34077b79,2
fea628d2-859c-4729-9143-69339e0531ad,6
f31dc0d4-a29e-4c42-ba1c-932467910938,8
6f72422e-cc5e-4a7b-83eb-2c3eaa80717d,2
25bcd5d8-ac72-43ca-b31e-0783640e7035,2
d2caeffd-3034-44c4-a3d3-28b65c718879,7
34cd2753-1e2c-4472-87c2-ce95fa7f32ae,2
c08b2111-7659-44a3-9894-ea3329c883b9,9
e1a53c0a-8ecd-4b17-b8f8-f22726e2d7b3,7
01d7b28c-5f51-4811-936f-a2db209a0830,8
b8d265f3-3116-494c-8bc1-836834ab93e6,9
0a52886c-0f2a-4ddc-a4c4-73613ad6453a,8
d90c781a-297e-4d97-8e7f-6394f5e17e80,8
16685031-98d8-484b-a949-9474975c54e7,8
67254f2d-a38c-4a68-982f-9d4503b4b696,8
d8ca872a-0ea0-478d-bcc0-f753f023a2ae,8
7119f984-1c13-4af5-bc46-6888fb71607a,8
435b6bf5-e354-4559-a01a-eb95d17afd0a,6
1b3ef839-d380-480e-9cc8-c770c432ff99,6
368f0604-db05-4c5a-9a7e-79260e446085,2
65920eda-e977-411d-a41d-7c17be148bd3,2
81acec81-5860-4d2e-a742-41b42b1ef705,9
787339eb-9cdb-4706-a41c-588ab9aad78d,3
f15ff349-e9b1-4f1a-b88b-7e9d84f78a67,1
eb5c86dd-d6ef-4cb2-8ce6-13e62f59625f,1
04017b3d-23f8-4346-9321-61105d170e36,9
86001d8a-f490-4ec3-ad4b-d1da37aed045,9
8b309fdc-8ed6-4e14-86b4-117283354dc5,9
cff42c42-a50c-4bab-b4b0-318fb8782fed,1
edff9dc6-b647-443a-aded-580fb57f860f,9
9ee21546-544d-4bc3-93be-2ddd0e4f12b7,9
deff1eda-b63c-41a3-a25b-cbd06a44b0b8,9
9f517e86-d438-45db-af97-f5b731c59284,9
9ce1b178-8a73-41b8-9795-fe85c0719329,9
9b43b2dd-9e3c-4fed-9c31-4d8538e4a343,9
9fe57127-6b82-49ae-8443-a9b5c81972cf,1
bf0a14fa-af61-4197-b503-747f4d0111d7,3
7707e14a-39d3-4742-8210-1a9bba235f9c,9
